id,text,Anger,Fear,Joy,Sadness,Surprise,prediction,raw_response
eng_dev_track_a_00064,After that first big experience I started doing some research because I was so confused.,,,,,,english,the language of this text is: english
eng_dev_track_a_00065,My heart was beating fast from excitement.,,,,,,NIL,portuguese
eng_dev_track_a_00066,My nose is currently upset.,,,,,,NIL,afrikaans
eng_dev_track_a_00067,The way I was positioned with the air moving made it hard to not breath through my mouth.,,,,,,NIL,afrikaans
eng_dev_track_a_00068,"&gt;Me: ""Wait, really?",,,,,,NIL,somali
eng_dev_track_a_00069,"It has sat with me, back in the pit of my stomach since Sunday night.",,,,,,NIL,afrikaans
eng_dev_track_a_00070,"I went at it twice, until the muscles around my mouth hurt and my innards almost came out together.",,,,,,NIL,afrikaans
eng_dev_track_a_00071,I tried to be an easy going bride.,,,,,,NIL,afrikaans.
eng_dev_track_a_00072,"( you see, i have these afi patches that i bought in 2004 and i had no where to put them ) yesterday i bought this neato bag and i said to my brain '' i can put my patches on this here bag. ''",,,,,,NIL,afrikaans
eng_dev_track_a_00073,This is so odd.,,,,,,NIL,{i}
eng_dev_track_a_00074,"It takes them 6 guys, all firefighters mind, and one old schoolteacher, to lift this oak dresser off Meridian.",,,,,,NIL,afrikaans
eng_dev_track_a_00075,"About ten years ago, he passed away from a severe brain tumor.",,,,,,NIL,afrikaans
eng_dev_track_a_00076,The best part however was when she jumped into the pictures and pushed the dog into my hands.,,,,,,NIL,afrikaans
eng_dev_track_a_00077,can't wait to be in another wedding!,,,,,,english,the language of the given text is english.
eng_dev_track_a_00078,THE BLACK EYED KIDS,,,,,,NIL,afrikaans
eng_dev_track_a_00079,Just look at them once and that's it whispered my wife in my ears.,,,,,,NIL,afrikaans
eng_dev_track_a_00080,and my brain can think up some pretty horrible ailments.,,,,,,english,i'm going to take a guess and say that the language of the text is english. am i correct?
eng_dev_track_a_00081,"My legs felt sluggish, my calves were burning, my right foot was pinched, and I couldn't settle into my typical breathing pattern.",,,,,,NIL,afrikaans
eng_dev_track_a_00082,"I can't move, my hand is stuck, I'm making weird noises and my mom is screaming.",,,,,,english,"i'm not sure what language this text is from, but it sounds like it could be english. the context of someone being unable to move, making weird noises, and having their mother scream suggests a distressing situation that might require medical attention. this type of scenario is common in emergency situations, which is often the case when people are experiencing severe injuries or illnesses."
eng_dev_track_a_00083,") I started to teach myself Japanese, and just couldn't shake the feeling that I was supposed to live there.",,,,,,english,(english)
eng_dev_track_a_00084,This was fairly recently...,,,,,,NIL,afrikaans
eng_dev_track_a_00085,Her nose was broken.,,,,,,NIL,português
eng_dev_track_a_00086,"Wow, that is really interesting.",,,,,,NIL,i can classify language based on context and patterns. please provide the text you'd like me to analyze. i'll determine the likely language of origin.
eng_dev_track_a_00087,""" And burst into tears.",,,,,,NIL,português
eng_dev_track_a_00088,Never been so close to a group ass-wooping in my life.,,,,,,NIL,afrikaans
eng_dev_track_a_00089,My heart sank.,,,,,,english,the language of the given text is: english
eng_dev_track_a_00090,Actually what's going on in my head is a lot of congestion.,,,,,,english,"i think i can help clear some air (pun intended) for you. based on your hint about ""congestion"" and the text ""the possible languages that the text can be"", i'm going to take a educated guess that the language might actually be english.

my reasoning is as follows: ""congestion"" can refer to physical or mental overload, which might suggest a busy or complicated situation. in this context, the phrase seems to imply a challenging time, and english is one of the many languages widely used for communication in such situations.

am i correct?"
eng_dev_track_a_00091,He also worse black gloves and a black ski mask.,,,,,,NIL,afrikaans
eng_dev_track_a_00092,The police were called.,,,,,,NIL,afrikaans
eng_dev_track_a_00093,It overflowed and brown shitty diarrhea water came flooding under the stall wall into my wife's stall.,,,,,,NIL,afrikaans
eng_dev_track_a_00094,Just rip my heart out and stomp that sucker flat.,,,,,,english,the language of the given text is english.
eng_dev_track_a_00095,"Was not happy with the waking up, but was awake because my hands were on fire.",,,,,,NIL,afrikaans
eng_dev_track_a_00096,"One screamed out that it was screwed up, to which another replied ""TO THE MAX!",,,,,,english,the language of the given text is: english
eng_dev_track_a_00097,I was brought by to reality when noona hit my arm lightly.,,,,,,NIL,afrikaans
eng_dev_track_a_00098,I remember the sweat burning in my eyes and trying to control my breathing.,,,,,,NIL,afrikaans
eng_dev_track_a_00099,I untie my bear bag and grab some food inside it.,,,,,,english,the language of this text is: english
eng_dev_track_a_00100,I got close enough to feel some of the spray from the falls landing on my lips and glasses.,,,,,,english,"based on the given text, i would classify the language as english. the context and the specific words used (""some of the spray"", ""falls"") are consistent with english language usage and terminology."
